council,Year,Estimated resident population (no.),Population density (persons/km2),Estimated resident population - males (no.),Estimated resident population - females (no.),Median age - males (years),Median age - females (years),Median age - persons (years),Working age population (aged 15-64 years) (no.),Working age population (aged 15-64 years) (%),Males - 0-4 years (no.),Males - 5-9 years (no.),Males - 10-14 years (no.),Males - 15-19 years (no.),Males - 20-24 years (no.),Males - 25-29 years (no.),Males - 30-34 years (no.),Males - 35-39 years (no.),Males - 40-44 years (no.),Males - 45-49 years (no.),Males - 50-54 years (no.),Males - 55-59 years (no.),Males - 60-64 years (no.),Males - 65-69 years (no.),Males - 70-74 years (no.),Males - 75-79 years (no.),Males - 80-84 years (no.),Males - 85 and over (no.),Males - 0-4 years (%),Males - 5-9 years (%),Males - 10-14 years (%),Males - 15-19 years (%),Males - 20-24 years (%),Males - 25-29 years (%),Males - 30-34 years (%),Males - 35-39 years (%),Males - 40-44 years (%),Males - 45-49 years (%),Males - 50-54 years (%),Males - 55-59 years (%),Males - 60-64 years (%),Males - 65-69 years (%),Males - 70-74 years (%),Males - 75-79 years (%),Males - 80-84 years (%),Males - 85 and over (%),Females - 0-4 years (no.),Females - 5-9 years (no.),Females - 10-14 years (no.),Females - 15-19 years (no.),Females - 20-24 years (no.),Females - 25-29 years (no.),Females - 30-34 years (no.),Females - 35-39 years (no.),Females - 40-44 years (no.),Females - 45-49 years (no.),Females - 50-54 years (no.),Females - 55-59 years (no.),Females - 60-64 years (no.),Females - 65-69 years (no.),Females - 70-74 years (no.),Females - 75-79 years (no.),Females - 80-84 years (no.),Females - 85 and over (no.),Females - 0-4 years (%),Females - 5-9 years (%),Females - 10-14 years (%),Females - 15-19 years (%),Females - 20-24 years (%),Females - 25-29 years (%),Females - 30-34 years (%),Females - 35-39 years (%),Females - 40-44 years (%),Females - 45-49 years (%),Females - 50-54 years (%),Females - 55-59 years (%),Females - 60-64 years (%),Females - 65-69 years (%),Females - 70-74 years (%),Females - 75-79 years (%),Females - 80-84 years (%),Females - 85 and over (%),Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%),Births (no.),Total fertility rate (births per female) (rate),Deaths (no.),"Standardised death rate (per 1,000 people) (rate)",Internal arrivals (no.),Internal departures (no.),Net internal migration (no.),Overseas arrivals (no.),Overseas departures (no.),Net overseas migration (no.),Aboriginal and Torres Strait Islander Peoples (no.),Aboriginal and Torres Strait Islander Peoples (%),Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (no.),Total born overseas (%),Buddhism (%),Christianity (%),Hinduism (%),Islam (%),Judaism (%),Other religions (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Religious affiliation inadequately described or not stated (%),Australian citizen (no.),Not an Australian citizen (no.),Australian citizenship not stated (no.),Australian citizen (%),Not an Australian citizen (%),Australian citizenship not stated (%),Speaks a language other than English at home (no.),Speaks a language other than English at home (%),Currently serving in the Australian Defence Force (no.),Previously served in the Australian Defence Force (no.),Currently serving in the Australian Defence Force (%),Previously served in the Australian Defence Force (%),
Alpine Shire Council,2021,"13,166",2.7,"6,553","6,613",48.2,49.4,48.8,"7,751",58.9,290,361,417,350,279,335,290,341,370,411,428,497,574,520,458,296,184,152,4.4,5.5,6.4,5.3,4.3,5.1,4.4,5.2,5.6,6.3,6.5,7.6,8.8,7.9,7.0,4.5,2.8,2.3,260,325,395,300,266,273,312,356,406,471,430,495,567,490,450,353,218,246,3.9,4.9,6.0,4.5,4.0,4.1,4.7,5.4,6.1,7.1,6.5,7.5,8.6,7.4,6.8,5.3,3.3,3.7,550,686,812,650,545,608,602,697,776,882,858,992,"1,141","1,010",908,649,402,398,4.2,5.2,6.2,4.9,4.1,4.6,4.6,5.3,5.9,6.7,6.5,7.5,8.7,7.7,6.9,4.9,3.1,3.0,109,1.58,134,5.6,928,773,155,18,32,-14,137,1.0,1.4,6.3,2.6,0.1,1.4,0.4,0.6,1.0,0.4,"1,878",14.2,0.6,40.9,0.5,0.2,0.1,0.5,48.5,8.7,"11,751",651,834,88.8,4.9,6.3,916,6.9,20,352,0.2,3.1,
Ararat Rural City Council,2021,"11,827",2.8,"6,278","5,549",45.1,47.4,46.2,"7,173",60.6,297,329,325,294,307,409,436,386,346,383,439,441,480,444,396,247,186,133,4.7,5.2,5.2,4.7,4.9,6.5,6.9,6.1,5.5,6.1,7.0,7.0,7.6,7.1,6.3,3.9,3.0,2.1,282,295,297,274,269,282,338,286,296,321,367,403,416,394,362,271,188,208,5.1,5.3,5.4,4.9,4.8,5.1,6.1,5.2,5.3,5.8,6.6,7.3,7.5,7.1,6.5,4.9,3.4,3.7,579,624,622,568,576,691,774,672,642,704,806,844,896,838,758,518,374,341,4.9,5.3,5.3,4.8,4.9,5.8,6.5,5.7,5.4,6.0,6.8,7.1,7.6,7.1,6.4,4.4,3.2,2.9,103,1.84,128,5.8,763,768,-5,16,28,-12,225,1.9,2.1,3.3,0.9,0.4,1.3,0.8,1.7,0.4,0.3,"1,342",11.3,0.5,38.4,0.7,0.7,0.1,0.5,44.6,14.5,"9,866",605,"1,410",83.0,5.1,11.9,595,5.0,3,280,-,2.8,
Ballarat City Council,2021,"113,504",153.6,"54,892","58,612",36.8,40.1,38.5,"70,941",62.5,"3,391","3,819","3,879","3,540","3,645","4,117","3,758","3,495","3,158","3,348","3,232","3,207","3,023","2,803","2,536","1,772","1,166","1,003",6.2,7.0,7.1,6.4,6.6,7.5,6.8,6.4,5.8,6.1,5.9,5.8,5.5,5.1,4.6,3.2,2.1,1.8,"3,348","3,529","3,648","3,431","3,682","4,075","3,776","3,762","3,619","3,627","3,516","3,467","3,463","3,272","2,984","2,146","1,459","1,808",5.7,6.0,6.2,5.9,6.3,7.0,6.4,6.4,6.2,6.2,6.0,5.9,5.9,5.6,5.1,3.7,2.5,3.1,"6,739","7,348","7,527","6,971","7,327","8,192","7,534","7,257","6,777","6,975","6,748","6,674","6,486","6,075","5,520","3,918","2,625","2,811",5.9,6.5,6.6,6.1,6.5,7.2,6.6,6.4,6.0,6.1,5.9,5.9,5.7,5.4,4.9,3.5,2.3,2.5,"1,358",1.70,928,5.9,"7,162","5,484","1,678",140,260,-120,"2,094",1.8,1.0,3.7,0.7,0.3,1.3,0.9,2.3,0.6,0.6,"12,846",11.3,0.8,42.0,1.2,0.7,-,1.0,48.0,6.4,"102,797","5,890","5,070",90.4,5.2,4.5,"7,976",7.0,111,"2,455",0.1,2.7,
Banyule City Council,2021,"127,370","2,036.6","62,250","65,120",39.1,41.5,40.3,"81,063",63.6,"3,712","4,066","3,885","3,656","3,769","3,877","4,435","4,609","4,372","4,334","3,979","3,536","3,493","2,985","2,835","2,100","1,340","1,267",6.0,6.5,6.2,5.9,6.1,6.2,7.1,7.4,7.0,7.0,6.4,5.7,5.6,4.8,4.6,3.4,2.2,2.0,"3,534","3,864","3,827","3,248","3,433","3,843","4,567","4,787","4,619","4,470","4,161","3,973","3,902","3,470","3,245","2,350","1,752","2,075",5.4,5.9,5.9,5.0,5.3,5.9,7.0,7.4,7.1,6.9,6.4,6.1,6.0,5.3,5.0,3.6,2.7,3.2,"7,246","7,930","7,712","6,904","7,202","7,720","9,002","9,396","8,991","8,804","8,140","7,509","7,395","6,455","6,080","4,450","3,092","3,342",5.7,6.2,6.1,5.4,5.7,6.1,7.1,7.4,7.1,6.9,6.4,5.9,5.8,5.1,4.8,3.5,2.4,2.6,"1,413",1.55,878,4.8,"8,876","11,131","-2,255",353,"1,038",-685,866,0.7,1.3,4.6,4.5,1.6,3.0,4.0,3.1,1.1,1.2,"30,864",24.4,1.9,44.5,1.8,2.4,0.1,0.6,43.6,4.9,"111,589","10,989","3,654",88.4,8.7,2.9,"27,548",21.8,667,"2,120",0.6,2.0,
Bass Coast Shire Council,2021,"40,675",47.0,"19,873","20,802",50.5,51.8,51.2,"22,646",55.7,949,"1,129","1,141",929,759,835,913,"1,064",975,"1,105","1,248","1,393","1,733","1,812","1,626","1,089",668,505,4.8,5.7,5.7,4.7,3.8,4.2,4.6,5.4,4.9,5.6,6.3,7.0,8.7,9.1,8.2,5.5,3.4,2.5,945,"1,020","1,098",903,695,865,"1,043","1,135","1,080","1,153","1,289","1,612","1,917","1,935","1,653","1,115",661,683,4.5,4.9,5.3,4.3,3.3,4.2,5.0,5.5,5.2,5.5,6.2,7.7,9.2,9.3,7.9,5.4,3.2,3.3,"1,894","2,149","2,239","1,832","1,454","1,700","1,956","2,199","2,055","2,258","2,537","3,005","3,650","3,747","3,279","2,204","1,329","1,188",4.7,5.3,5.5,4.5,3.6,4.2,4.8,5.4,5.1,5.6,6.2,7.4,9.0,9.2,8.1,5.4,3.3,2.9,370,1.70,401,5.2,"3,618","2,136","1,482",31,52,-21,465,1.1,1.6,8.0,1.7,0.2,1.1,0.4,0.9,0.7,0.6,"6,167",15.1,1.0,39.2,0.4,0.2,0.1,0.5,50.1,8.6,"36,214","2,098","2,479",88.8,5.1,6.1,"2,060",5.1,16,"1,090",-,3.1,
Baw Baw Shire Council,2021,"57,618",14.3,"28,174","29,444",40.5,42.1,41.3,"34,444",59.8,"1,799","1,859","2,030","1,600","1,489","1,669","1,811","1,688","1,524","1,603","1,725","1,768","1,818","1,733","1,653","1,121",760,524,6.4,6.6,7.2,5.7,5.3,5.9,6.4,6.0,5.4,5.7,6.1,6.3,6.5,6.2,5.9,4.0,2.7,1.9,"1,767","1,784","1,855","1,627","1,455","1,884","1,892","1,762","1,609","1,706","1,851","1,934","2,029","1,841","1,714","1,177",757,800,6.0,6.1,6.3,5.5,4.9,6.4,6.4,6.0,5.5,5.8,6.3,6.6,6.9,6.3,5.8,4.0,2.6,2.7,"3,566","3,643","3,885","3,227","2,944","3,553","3,703","3,450","3,133","3,309","3,576","3,702","3,847","3,574","3,367","2,298","1,517","1,324",6.2,6.3,6.7,5.6,5.1,6.2,6.4,6.0,5.4,5.7,6.2,6.4,6.7,6.2,5.8,4.0,2.6,2.3,726,1.92,453,5.3,"4,680","3,151","1,529",35,59,-24,724,1.3,1.3,5.7,1.1,0.2,0.9,0.6,1.0,0.5,0.7,"6,928",12.0,0.8,41.7,0.4,0.3,0.1,0.5,48.7,7.6,"51,936","2,619","3,071",90.1,4.5,5.3,"2,819",4.9,48,"1,315",0.1,2.8,
Bayside City Council,2021,"102,328","2,749.9","49,066","53,262",44.0,46.5,45.4,"62,954",61.5,"2,294","3,135","3,773","3,649","2,822","1,895","2,068","2,557","2,979","3,696","4,070","3,533","3,216","2,558","2,510","1,873","1,196","1,242",4.7,6.4,7.7,7.4,5.8,3.9,4.2,5.2,6.1,7.5,8.3,7.2,6.6,5.2,5.1,3.8,2.4,2.5,"2,315","2,912","3,693","3,403","2,468","1,870","2,319","2,964","3,481","4,232","4,387","3,924","3,421","3,027","2,899","2,242","1,514","2,191",4.3,5.5,6.9,6.4,4.6,3.5,4.4,5.6,6.5,7.9,8.2,7.4,6.4,5.7,5.4,4.2,2.8,4.1,"4,609","6,047","7,466","7,052","5,290","3,765","4,387","5,521","6,460","7,928","8,457","7,457","6,637","5,585","5,409","4,115","2,710","3,433",4.5,5.9,7.3,6.9,5.2,3.7,4.3,5.4,6.3,7.7,8.3,7.3,6.5,5.5,5.3,4.0,2.6,3.4,851,1.54,798,4.3,"7,554","8,303",-749,387,"1,514","-1,127",269,0.3,1.9,9.6,4.1,1.1,1.8,3.2,1.5,1.9,1.8,"27,164",26.8,1.2,44.5,0.8,0.7,2.9,0.3,44.5,5.1,"89,186","8,804","3,322",88.0,8.7,3.3,"15,645",15.4,81,"1,706",0.1,2.0,
Benalla Rural City Council,2021,"14,436",6.1,"7,057","7,379",49.7,52.1,51.0,"8,168",56.6,336,354,378,396,331,356,361,348,303,391,414,501,598,556,580,379,266,209,4.8,5.0,5.4,5.6,4.7,5.0,5.1,4.9,4.3,5.5,5.9,7.1,8.5,7.9,8.2,5.4,3.8,3.0,333,320,380,344,285,341,358,371,338,399,513,606,614,576,574,388,309,330,4.5,4.3,5.1,4.7,3.9,4.6,4.9,5.0,4.6,5.4,7.0,8.2,8.3,7.8,7.8,5.3,4.2,4.5,669,674,758,740,616,697,719,719,641,790,927,"1,107","1,212","1,132","1,154",767,575,539,4.6,4.7,5.3,5.1,4.3,4.8,5.0,5.0,4.4,5.5,6.4,7.7,8.4,7.8,8.0,5.3,4.0,3.7,136,1.86,175,5.8,"1,019",968,51,7,11,-4,284,2.0,0.9,4.7,0.8,0.2,0.7,0.3,1.1,0.4,0.3,"1,345",9.3,0.5,45.0,0.5,0.4,0.1,0.5,42.9,10.1,"12,902",533,"1,092",88.8,3.7,7.5,529,3.6,10,457,0.1,3.7,
Boroondara City Council,2021,"169,789","2,821.5","81,802","87,987",38.6,42.0,40.4,"111,784",65.8,"3,537","4,723","5,890","6,197","6,438","5,768","4,998","4,726","4,910","5,456","5,734","5,387","4,588","3,875","3,480","2,553","1,728","1,814",4.3,5.8,7.2,7.6,7.9,7.1,6.1,5.8,6.0,6.7,7.0,6.6,5.6,4.7,4.3,3.1,2.1,2.2,"3,383","4,431","5,706","5,936","6,184","5,604","5,177","5,384","5,662","6,319","6,475","5,810","5,031","4,359","4,056","3,091","2,292","3,087",3.8,5.0,6.5,6.7,7.0,6.4,5.9,6.1,6.4,7.2,7.4,6.6,5.7,5.0,4.6,3.5,2.6,3.5,"6,920","9,154","11,596","12,133","12,622","11,372","10,175","10,110","10,572","11,775","12,209","11,197","9,619","8,234","7,536","5,644","4,020","4,901",4.1,5.4,6.8,7.1,7.4,6.7,6.0,6.0,6.2,6.9,7.2,6.6,5.7,4.8,4.4,3.3,2.4,2.9,"1,228",1.15,"1,055",3.9,"12,782","15,918","-3,136","1,023","4,439","-3,416",436,0.3,1.6,4.6,3.0,1.2,5.4,10.4,3.7,1.6,1.0,"54,433",32.4,3.3,41.5,2.6,1.1,0.9,0.6,45.2,4.8,"141,659","21,467","4,772",84.4,12.8,2.8,"48,227",28.7,182,"2,135",0.1,1.5,
Brimbank City Council,2021,"196,631","1,593.5","98,892","97,739",36.4,38.8,37.6,"130,958",66.6,"5,876","6,175","5,791","5,728","7,331","8,718","7,736","7,217","6,226","6,033","5,974","6,020","5,429","4,666","4,021","2,777","1,832","1,342",5.9,6.2,5.9,5.8,7.4,8.8,7.8,7.3,6.3,6.1,6.0,6.1,5.5,4.7,4.1,2.8,1.9,1.4,"5,449","5,744","5,436","5,590","6,470","7,399","7,466","7,033","6,201","6,288","6,351","5,933","5,815","5,074","4,280","2,931","2,033","2,246",5.6,5.9,5.6,5.7,6.6,7.6,7.6,7.2,6.3,6.4,6.5,6.1,5.9,5.2,4.4,3.0,2.1,2.3,"11,325","11,919","11,227","11,318","13,801","16,117","15,202","14,250","12,427","12,321","12,325","11,953","11,244","9,740","8,301","5,708","3,865","3,588",5.8,6.1,5.7,5.8,7.0,8.2,7.7,7.2,6.3,6.3,6.3,6.1,5.7,5.0,4.2,2.9,2.0,1.8,"2,180",1.60,"1,164",5.3,"10,050","16,325","-6,275",791,"2,032","-1,241",853,0.4,2.3,1.8,10.4,3.0,18.9,1.6,7.2,1.3,1.6,"93,610",48.1,11.1,48.3,3.1,6.7,-,2.1,21.2,7.5,"152,193","31,694","10,733",78.2,16.3,5.5,"111,421",57.3,135,"1,198",0.1,0.7,
